team,rank,date
Argentina,1,2026-06-11
Spain,2,2026-06-11
France,3,2026-06-11
England,4,2026-06-11
Portugal,5,2026-06-11
Brazil,6,2026-06-11
Morocco,7,2026-06-11
Netherlands,8,2026-06-11
Belgium,9,2026-06-11
Germany,10,2026-06-11
Croatia,11,2026-06-11
Colombia,13,2026-06-11
Mexico,14,2026-06-11
Senegal,15,2026-06-11
Uruguay,16,2026-06-11
United States,17,2026-06-11
Japan,18,2026-06-11
Switzerland,19,2026-06-11
Iran,20,2026-06-11
Turkey,22,2026-06-11
Ecuador,23,2026-06-11
Austria,24,2026-06-11
South Korea,25,2026-06-11
Australia,27,2026-06-11
Algeria,28,2026-06-11
Egypt,29,2026-06-11
Canada,30,2026-06-11
Norway,31,2026-06-11
Ivory Coast,33,2026-06-11
Panama,34,2026-06-11
Sweden,38,2026-06-11
Czechia,39,2026-06-11
Paraguay,40,2026-06-11
Scotland,42,2026-06-11
DR Congo,45,2026-06-11
Tunisia,46,2026-06-11
Uzbekistan,51,2026-06-11
Iraq,56,2026-06-11
Qatar,57,2026-06-11
South Africa,60,2026-06-11
Saudi Arabia,61,2026-06-11
Jordan,63,2026-06-11
Bosnia and Herzegovina,64,2026-06-11
Cape Verde,67,2026-06-11
Ghana,73,2026-06-11
Curaçao,82,2026-06-11
Haiti,83,2026-06-11
New Zealand,85,2026-06-11
